pval,effect_size,typeA,typeB
0.0,0.09906827320431788,c,c
0.0,0.0986341024704196,c,b
0.0,0.13091432225063937,c,c
0.0,0.11687586071217781,c,b
0.0,0.049941415846698534,c,c
0.02,0.04623206805399671,c,b
0.21,0.015463917525773141,b,c
0.09,0.02478243406078451,b,b
0.19,0.019587628865979312,b,c
0.27,0.010723362938001468,b,b
0.17,0.019587628865979312,b,c
0.14,0.018497710609848617,b,b
0.22,0.011999552985220596,b,c
0.19,0.017389826668177122,b,b
0.15,0.0185123600487751,b,c
0.57,0.0005181912398407595,b,b
0.14,0.021660167726083035,b,c
0.09,0.028030900633789435,b,b
0.08,0.030855234499782225,b,c
0.11,0.02293024725038051,b,b
0.0,0.07801459515811415,b,c
0.0,0.06328510785757602,b,b
0.0,0.09126392944401407,b,c
0.0,0.07884688812523866,b,b
0.01,0.03440244368079415,b,c
0.04,0.0371915408464194,b,b
0.13,0.0265701725068771,b,c
0.23,0.018592603990357448,b,b
0.08,0.02781384994567082,b,c
0.02,0.039225871760036224,b,b
0.0,0.05664484957442617,b,c
0.05,0.045394080478882604,b,b
0.02,0.04823776660702617,b,c
0.02,0.04396436016791838,b,b
0.09,0.04244477172312222,b,c
0.01,0.049472686337243776,b,b
0.03,0.0346413923068396,b,c
0.0,0.04993993238901462,b,b
0.0,0.058718063648588004,b,c
0.01,0.046614655893006396,b,b
0.0,0.08479444151804749,b,c
0.0,0.09918460619595415,b,b
0.01,0.06758762886597935,b,c
0.0,0.06426847992980911,b,b
0.0,0.07458762886597936,b,c
0.0,0.07789964932633742,b,b
0.0,0.09583072278863125,b,c
0.0,0.102073504572194,b,b
0.0,0.08680525971997388,b,c
0.0,0.09180985108820161,b,b
0.0,0.07458762886597936,b,c
0.0,0.07789964932633742,b,b
0.0,0.058822078626744934,b,c
0.0,0.05252880533656756,b,b
0.0,0.10024157981965787,b,c
0.0,0.09980740908575958,b,b
0.0,0.13208762886597936,b,c
0.0,0.1180491673275178,b,b
0.01,0.05111472246203852,b,c
0.01,0.0474053746693367,b,b
0.1,0.009318516535011367,c,b
0.44,0.004123711340206171,c,c
0.29,0.004740554587771673,c,b
0.37,0.004123711340206171,c,c
0.46,0.0030337930840754757,c,b
0.32,0.0034643645405525447,c,c
0.44,0.001925909142403981,c,b
0.4,0.0030484425230019596,c,c
0.0,0.0159821087656139,c,b
0.3,0.006196250200309894,c,c
0.31,0.012566983108016294,c,b
0.22,0.015391316974009084,c,c
0.22,0.007466329724607368,c,b
0.01,0.06255067763234101,c,c
0.01,0.047821190331802876,c,b
0.0,0.07580001191824093,c,c
0.0,0.06338297059946552,c,b
0.12,0.018938526155021007,c,c
0.12,0.02172762332064626,c,b
0.34,0.011106254981103958,c,c
0.48,0.003128686464584307,c,b
0.3,0.01234993241989768,c,c
0.17,0.023761954234263083,c,b
0.02,0.04118093204865303,c,c
0.06,0.029930162953109463,c,b
0.06,0.032773849081253026,c,c
0.12,0.02850044264214524,c,b
0.17,0.02698085419734908,c,c
0.05,0.034008768811470635,c,b
0.14,0.01917747478106646,c,c
0.03,0.03447601486324148,c,b
0.05,0.04325414612281486,c,c
0.08,0.031150738367233255,c,b
0.0,0.06933052399227435,c,c
0.0,0.08372068867018101,c,b
0.0,0.052123711340206214,c,c
0.02,0.04880456240403597,c,b
0.0,0.05912371134020622,c,c
0.0,0.062435731800564276,c,b
0.0,0.08036680526285811,c,c
0.0,0.08660958704642086,c,b
0.0,0.07134134219420074,c,c
0.0,0.07634593356242847,c,b
0.0,0.05912371134020622,c,c
0.0,0.062435731800564276,c,b
0.03,0.04335816110097179,c,c
0.05,0.03706488781079442,c,b
0.0,0.08477766229388473,c,c
0.0,0.08434349155998644,c,b
0.0,0.11662371134020622,c,c
0.0,0.10258524980174466,c,b
0.08,0.03565080493626538,c,c
0.1,0.031941457143563556,c,b
0.24,0.0051948051948051965,b,c
0.04,0.01405907112278304,b,b
0.2,0.0051948051948051965,b,c
0.2,0.006284723450935892,b,b
0.04,0.012782881075563912,b,c
0.18,0.0073926073926073865,b,b
0.22,0.006270074012009408,b,c
0.0,0.025300625300625268,b,b
0.34,0.0031222663347014734,b,c
0.29,0.0032484665730049267,b,b
0.4,0.006072800438997716,b,c
0.33,0.0018521868104039996,b,b
0.02,0.053232161097329644,b,c
0.05,0.03850267379679151,b,b
0.01,0.06648149538322956,b,c
0.01,0.05406445406445415,b,b
